date,zone,lon,lat,wind_speed_knots,wave_height_m,sea_surface_temp_c,visibility_km,precipitation_mm
2024-01-21,South China Sea,110,2,15.9,1.28,29.7,10.2,7.8
2024-01-21,Java Sea West,108,-6,23.1,2.6,27.6,14.6,19.9
2024-01-21,Java Sea East,115,-5,18.6,1.96,29.5,12.2,11.6
2024-01-21,Celebes Sea,121,2,12.7,1.78,27.7,9.9,0.4
2024-01-21,Banda Sea,128,-5,22.8,2.33,27.6,10.7,4.4
2024-01-21,Arafura Sea,136,-7,15.1,2.31,29.4,13.7,12.1
2024-01-21,Indian Ocean South,100,-7,24.8,2.28,27.6,10.6,8.8
2024-01-22,Malacca Strait,101,3,7.8,2.9,28.6,9.5,4.0
2024-01-22,South China Sea,110,2,13.1,2.84,28.3,14.6,10.7
2024-01-22,Java Sea West,108,-6,22.3,2.4,27.3,13.9,18.7
2024-01-22,Java Sea East,115,-5,21.1,1.37,26.5,10.0,10.0
2024-01-22,Celebes Sea,121,2,13.5,2.5,29.2,10.2,12.1
2024-01-22,Banda Sea,128,-5,24.7,1.92,28.1,9.9,0
2024-01-22,Arafura Sea,136,-7,20.6,2.66,28.0,10.8,4.2
2024-01-22,Indian Ocean South,100,-7,24.4,2.4,27.8,11.0,4.4
2024-01-23,Malacca Strait,101,3,8.3,2.48,28.0,11.0,3.3
2024-01-23,South China Sea,110,2,12.1,1.55,27.1,7.5,0
2024-01-23,Java Sea West,108,-6,24.7,1.98,27.8,8.9,2.8
2024-01-23,Java Sea East,115,-5,22.6,2.21,29.1,9.6,0
2024-01-23,Celebes Sea,121,2,13.4,2.45,27.8,8.8,6.8
2024-01-23,Banda Sea,128,-5,18.5,1.89,26.6,11.0,3.6
2024-01-23,Arafura Sea,136,-7,23.1,2.82,29.0,11.4,0
2024-01-23,Indian Ocean South,100,-7,19.5,2.28,26.5,7.3,14.4
2024-01-24,Malacca Strait,101,3,15.2,2.27,29.9,7.7,0.6
2024-01-24,South China Sea,110,2,14.0,2.79,26.9,14.5,14.7
2024-01-24,Java Sea West,108,-6,21.3,1.66,29.2,14.6,0
2024-01-24,Java Sea East,115,-5,16.7,2.45,26.1,15.1,0
2024-01-24,Celebes Sea,121,2,15.0,2.32,27.2,9.8,5.7
2024-01-24,Banda Sea,128,-5,17.2,2.68,26.6,9.5,3.5
2024-01-24,Arafura Sea,136,-7,22.7,2.92,27.4,6.7,14.3
2024-01-24,Indian Ocean South,100,-7,20.8,2.61,26.2,12.3,14.3
2024-01-25,Malacca Strait,101,3,11.4,2.95,27.9,7.8,7.3
2024-01-25,South China Sea,110,2,15.4,2.84,27.1,8.5,0
2024-01-25,Java Sea West,108,-6,23.9,2.59,28.4,12.5,5.3
2024-01-25,Java Sea East,115,-5,21.5,1.99,27.3,15.0,5.6
2024-01-25,Celebes Sea,121,2,9.6,2.08,28.0,12.7,0
2024-01-25,Banda Sea,128,-5,20.6,1.54,26.1,15.3,0
2024-01-25,Arafura Sea,136,-7,17.8,2.15,27.7,10.5,6.1
2024-01-25,Indian Ocean South,100,-7,23.3,1.59,29.3,11.1,3.3
2024-01-26,Malacca Strait,101,3,12.2,3.17,28.1,7.9,9.2
2024-01-26,South China Sea,110,2,12.1,2.17,28.0,12.7,11.3
2024-01-26,Java Sea West,108,-6,18.2,3.25,29.3,10.9,0
2024-01-26,Java Sea East,115,-5,21.3,2.1,29.0,9.0,0.9
2024-01-26,Celebes Sea,121,2,8.0,2.68,29.0,3.5,10.7
2024-01-26,Banda Sea,128,-5,17.2,2.03,29.5,8.8,1.7
2024-01-26,Arafura Sea,136,-7,19.6,1.69,27.1,13.3,8.3
2024-01-26,Indian Ocean South,100,-7,21.0,2.0,29.3,15.3,12.4
2024-01-27,Malacca Strait,101,3,9.3,2.55,27.9,5.0,0.3
2024-01-27,South China Sea,110,2,7.8,3.01,28.6,8.5,13.2
2024-01-27,Java Sea West,108,-6,22.3,1.78,29.6,7.4,15.5
2024-01-27,Java Sea East,115,-5,21.1,2.46,27.8,6.6,8.6
2024-01-27,Celebes Sea,121,2,11.3,1.91,27.6,7.9,14.2
2024-01-27,Banda Sea,128,-5,19.3,2.6,26.4,8.9,0
2024-01-27,Arafura Sea,136,-7,18.4,2.04,29.5,8.0,14.2
2024-01-27,Indian Ocean South,100,-7,17.4,2.35,28.8,6.9,11.8
2024-01-28,Malacca Strait,101,3,10.9,3.18,29.2,11.7,0
2024-01-28,South China Sea,110,2,12.7,2.29,28.1,8.1,0
2024-01-28,Java Sea West,108,-6,19.8,2.19,26.9,13.3,2.0
2024-01-28,Java Sea East,115,-5,20.8,1.93,29.4,14.1,13.2
2024-01-28,Celebes Sea,121,2,13.6,2.7,27.3,10.2,0.8
2024-01-28,Banda Sea,128,-5,23.0,2.55,29.1,10.7,0.5
2024-01-28,Arafura Sea,136,-7,18.2,2.4,27.0,7.7,7.3
2024-01-28,Indian Ocean South,100,-7,18.5,2.74,27.2,11.2,0
2024-01-29,Malacca Strait,101,3,7.1,3.29,29.9,7.6,6.6
2024-01-29,South China Sea,110,2,5.3,1.94,29.3,10.5,0.9
2024-01-29,Java Sea West,108,-6,17.1,1.4,28.2,14.6,14.3
2024-01-29,Java Sea East,115,-5,18.9,3.27,27.1,11.4,2.5
2024-01-29,Celebes Sea,121,2,15.0,2.09,27.8,9.6,6.5
2024-01-29,Banda Sea,128,-5,17.8,1.58,30.0,9.5,6.4
2024-01-29,Arafura Sea,136,-7,24.3,2.53,29.2,11.6,10.0
2024-01-29,Indian Ocean South,100,-7,21.5,2.59,28.8,9.7,5.3
2024-01-30,Malacca Strait,101,3,11.8,2.19,28.2,9.5,0
2024-01-30,South China Sea,110,2,12.4,1.91,26.2,5.3,11.9
2024-01-30,Java Sea West,108,-6,26.0,2.6,28.4,13.6,6.0
2024-01-30,Java Sea East,115,-5,22.0,2.11,28.5,10.2,13.3
2024-01-30,Celebes Sea,121,2,20.0,2.91,26.3,6.5,3.4
2024-01-30,Banda Sea,128,-5,17.2,2.88,27.9,4.4,0
2024-01-30,Arafura Sea,136,-7,27.3,1.93,27.4,9.5,0
2024-01-30,Indian Ocean South,100,-7,21.7,2.39,26.2,4.7,0.8
2024-01-31,Malacca Strait,101,3,12.6,1.43,28.8,6.3,0
2024-01-31,South China Sea,110,2,13.5,1.27,27.2,11.9,6.5
2024-01-31,Java Sea West,108,-6,24.3,1.42,30.0,7.8,3.4
2024-01-31,Java Sea East,115,-5,21.0,2.89,29.1,11.8,0
2024-01-31,Celebes Sea,121,2,8.7,2.15,29.0,12.3,0.1
2024-01-31,Banda Sea,128,-5,16.5,2.97,29.7,4.6,3.3
2024-01-31,Arafura Sea,136,-7,25.6,2.78,29.3,7.5,3.0
2024-01-31,Indian Ocean South,100,-7,20.6,1.4,28.4,5.9,10.5
2024-02-01,Malacca Strait,101,3,17.8,2.19,27.4,12.4,4.9
2024-02-01,South China Sea,110,2,14.1,2.93,28.6,6.5,15.9
2024-02-01,Java Sea West,108,-6,22.6,2.47,28.4,10.2,2.9
2024-02-01,Java Sea East,115,-5,20.5,1.32,27.5,6.3,0.5
2024-02-01,Celebes Sea,121,2,15.7,2.43,29.1,6.7,0.6
2024-02-01,Banda Sea,128,-5,18.7,1.91,26.5,9.7,0
2024-02-01,Arafura Sea,136,-7,19.8,1.99,27.0,1,13.9
2024-02-01,Indian Ocean South,100,-7,25.0,1.75,26.5,12.0,0
2024-02-02,Malacca Strait,101,3,10.8,2.89,28.7,11.5,0
2024-02-02,South China Sea,110,2,16.4,2.17,29.6,12.8,0
2024-02-02,Java Sea West,108,-6,17.5,2.49,28.0,11.5,8.7
2024-02-02,Java Sea East,115,-5,20.2,1.64,28.2,6.3,15.6
2024-02-02,Celebes Sea,121,2,12.0,2.25,27.2,14.8,5.0
2024-02-02,Banda Sea,128,-5,20.7,1.73,26.3,14.2,3.0
2024-02-02,Arafura Sea,136,-7,20.8,1.93,29.5,10.8,0
2024-02-02,Indian Ocean South,100,-7,25.1,1.71,29.6,11.5,6.4
2024-02-03,Malacca Strait,101,3,13.4,1.96,28.8,6.0,20.7
2024-02-03,South China Sea,110,2,14.3,2.65,28.5,8.5,3.7
2024-02-03,Java Sea West,108,-6,17.5,1.88,26.7,11.6,3.3
2024-02-03,Java Sea East,115,-5,19.2,2.09,29.4,4.8,0
2024-02-03,Celebes Sea,121,2,17.1,1.66,28.3,7.0,0
2024-02-03,Banda Sea,128,-5,17.7,1.85,28.5,8.1,24.4
2024-02-03,Arafura Sea,136,-7,23.5,1.8,27.2,10.9,6.2
2024-02-03,Indian Ocean South,100,-7,20.0,2.18,28.4,8.2,16.8
2024-02-04,Malacca Strait,101,3,17.2,1.97,26.5,7.4,12.5
2024-02-04,South China Sea,110,2,10.7,2.03,27.0,12.0,8.8
2024-02-04,Java Sea West,108,-6,19.3,1.93,29.5,11.4,11.0
2024-02-04,Java Sea East,115,-5,18.0,2.84,28.0,6.5,4.1
2024-02-04,Celebes Sea,121,2,20.2,2.07,28.0,12.0,3.8
2024-02-04,Banda Sea,128,-5,23.3,2.14,29.5,8.1,0
2024-02-04,Arafura Sea,136,-7,23.8,2.04,29.5,9.3,0
2024-02-04,Indian Ocean South,100,-7,18.8,2.28,26.8,8.9,4.0
2024-02-05,Malacca Strait,101,3,12.2,2.01,30.0,9.4,1.4
2024-02-05,South China Sea,110,2,8.8,3.29,27.4,14.7,0
2024-02-05,Java Sea West,108,-6,17.5,1.78,26.2,11.8,10.5
2024-02-05,Java Sea East,115,-5,16.1,2.32,28.1,8.1,14.7
2024-02-05,Celebes Sea,121,2,17.9,1.71,27.2,7.1,17.9
2024-02-05,Banda Sea,128,-5,19.4,2.05,29.3,7.0,13.8
2024-02-05,Arafura Sea,136,-7,17.4,2.7,28.9,9.7,3.3
2024-02-05,Indian Ocean South,100,-7,27.1,2.1,29.1,5.8,0
2024-02-06,Malacca Strait,101,3,14.0,2.75,28.5,10.9,1.2
2024-02-06,South China Sea,110,2,20.2,2.66,26.4,12.6,5.8
2024-02-06,Java Sea West,108,-6,19.9,1.44,29.1,15.3,0
2024-02-06,Java Sea East,115,-5,21.5,2.67,26.8,8.0,15.5
2024-02-06,Celebes Sea,121,2,12.3,2.46,29.6,8.5,11.3
2024-02-06,Banda Sea,128,-5,19.2,2.23,28.8,8.5,1.7
2024-02-06,Arafura Sea,136,-7,20.0,1.79,29.9,9.3,11.3
2024-02-06,Indian Ocean South,100,-7,21.3,1.56,27.4,14.9,0
2024-02-07,Malacca Strait,101,3,15.2,2.22,27.5,15.5,3.2
2024-02-07,South China Sea,110,2,13.8,2.7,27.2,9.4,0
2024-02-07,Java Sea West,108,-6,20.9,2.51,26.8,3.2,0.5
2024-02-07,Java Sea East,115,-5,22.7,2.86,28.3,10.2,16.9
2024-02-07,Celebes Sea,121,2,12.4,2.22,27.7,9.7,1.4
2024-02-07,Banda Sea,128,-5,23.8,2.67,29.7,4.2,15.3
2024-02-07,Arafura Sea,136,-7,20.0,2.85,29.9,8.1,15.4
2024-02-07,Indian Ocean South,100,-7,25.3,3.07,28.1,8.8,0
2024-02-08,Malacca Strait,101,3,14.8,3.42,26.7,19.0,0
2024-02-08,South China Sea,110,2,6.0,2.12,29.8,15.5,0
2024-02-08,Java Sea West,108,-6,19.7,1.45,29.9,8.1,28.5
2024-02-08,Java Sea East,115,-5,12.9,2.34,29.4,8.1,6.0
2024-02-08,Celebes Sea,121,2,14.7,1.95,27.0,11.9,17.0
2024-02-08,Banda Sea,128,-5,15.4,2.48,26.7,14.0,0
2024-02-08,Arafura Sea,136,-7,20.7,2.73,28.7,10.7,9.0
2024-02-08,Indian Ocean South,100,-7,22.0,2.22,26.9,10.2,0
2024-02-09,Malacca Strait,101,3,11.9,1.91,28.6,9.6,2.3
2024-02-09,South China Sea,110,2,11.9,1.96,28.0,13.7,0
2024-02-09,Java Sea West,108,-6,25.9,2.42,27.2,8.4,1.3
2024-02-09,Java Sea East,115,-5,22.8,2.11,28.4,6.7,10.1
2024-02-09,Celebes Sea,121,2,8.7,2.1,26.9,10.1,18.4
2024-02-09,Banda Sea,128,-5,22.8,2.97,28.8,13.4,9.9
2024-02-09,Arafura Sea,136,-7,18.6,1.49,28.3,11.6,10.8
2024-02-09,Indian Ocean South,100,-7,23.5,2.42,28.3,13.0,10.2
2024-02-10,Malacca Strait,101,3,8.6,2.82,27.8,13.1,8.2
2024-02-10,South China Sea,110,2,12.5,2.41,29.3,9.9,0
2024-02-10,Java Sea West,108,-6,20.4,1.66,30.0,11.0,3.8
2024-02-10,Java Sea East,115,-5,23.0,2.96,29.1,10.8,0
2024-02-10,Celebes Sea,121,2,4.7,2.92,27.5,14.5,0
2024-02-10,Banda Sea,128,-5,18.2,1.66,28.2,8.4,0
2024-02-10,Arafura Sea,136,-7,18.4,1.68,28.9,10.0,5.7
2024-02-10,Indian Ocean South,100,-7,20.7,1.96,28.2,4.5,2.0
2024-02-11,Malacca Strait,101,3,10.6,2.07,29.7,9.8,1.1
2024-02-11,South China Sea,110,2,8.5,2.96,29.5,12.0,5.5
2024-02-11,Java Sea West,108,-6,25.0,1.74,28.8,14.7,9.0
2024-02-11,Java Sea East,115,-5,20.2,2.31,29.5,13.3,8.3
2024-02-11,Celebes Sea,121,2,15.0,1.49,27.3,6.3,0
2024-02-11,Banda Sea,128,-5,19.5,2.14,28.6,10.5,11.7
2024-02-11,Arafura Sea,136,-7,27.9,1.4,29.6,7.8,0
2024-02-11,Indian Ocean South,100,-7,29.0,2.12,28.7,10.6,0
2024-02-12,Malacca Strait,101,3,13.7,2.36,29.0,4.2,7.6
2024-02-12,South China Sea,110,2,11.6,1.43,29.7,2.7,0
2024-02-12,Java Sea West,108,-6,22.5,2.5,26.8,5.9,0
2024-02-12,Java Sea East,115,-5,24.0,3.04,26.8,9.5,16.9
2024-02-12,Celebes Sea,121,2,14.4,2.27,29.0,9.4,0
2024-02-12,Banda Sea,128,-5,21.8,2.02,29.8,17.0,6.8
2024-02-12,Arafura Sea,136,-7,30.7,3.74,27.9,10.2,15.9
2024-02-12,Indian Ocean South,100,-7,25.3,1.61,29.1,7.3,11.7
2024-02-13,Malacca Strait,101,3,11.7,2.4,28.0,16.9,18.1
2024-02-13,South China Sea,110,2,16.6,1.64,27.5,6.7,10.3
2024-02-13,Java Sea West,108,-6,22.4,2.02,29.7,7.3,1.0
2024-02-13,Java Sea East,115,-5,18.6,1.99,29.3,5.6,5.1
2024-02-13,Celebes Sea,121,2,12.7,3.08,29.9,7.8,0
2024-02-13,Banda Sea,128,-5,20.5,1.58,28.9,3.3,6.3
2024-02-13,Arafura Sea,136,-7,21.3,2.23,26.1,14.1,0
2024-02-13,Indian Ocean South,100,-7,22.3,2.19,29.4,10.5,17.5
2024-02-14,Malacca Strait,101,3,9.1,1.5,28.5,7.9,0
2024-02-14,South China Sea,110,2,12.7,2.23,28.2,13.7,5.7
2024-02-14,Java Sea West,108,-6,21.6,1.9,29.3,7.5,0
2024-02-14,Java Sea East,115,-5,21.1,2.95,26.6,11.3,14.1
2024-02-14,Celebes Sea,121,2,12.7,3.02,27.5,6.8,10.7
2024-02-14,Banda Sea,128,-5,20.7,3.44,29.4,6.6,0
2024-02-14,Arafura Sea,136,-7,24.4,2.8,28.2,10.4,5.4
2024-02-14,Indian Ocean South,100,-7,18.8,1.76,29.1,4.6,0
