id,date_gmt,time_gmt,lon,lat,quality_flag,radiance,zone
67,20241224,1757,116.5809,-0.4859,3,11.417,South China Sea
68,20240622,2146,111.0509,-6.9129,3,8.67,Java Sea
69,20240113,1801,100.5105,2.8668,2,4.655,Malacca Strait
70,20240513,1020,103.4674,1.5452,1,17.206,Malacca Strait
71,20240709,0247,110.5043,2.7072,1,27.201,South China Sea
72,20241102,0012,99.7997,-5.7493,8,42.042,Indian Ocean
73,20240219,0616,120.1927,0.8414,1,38.461,Celebes Sea
74,20240225,0506,112.2507,-4.7562,10,29.145,Java Sea
75,20240713,2237,101.6064,-4.4599,1,34.685,Indian Ocean
76,20241120,0336,119.5095,2.6349,3,39.24,Celebes Sea
77,20240921,1026,101.7135,2.1117,1,41.205,Malacca Strait
78,20240823,0446,114.7255,-5.0932,1,26.326,Java Sea
79,20240815,1337,137.3114,-5.3215,8,13.786,Arafura Sea
80,20240808,1442,115.4766,-2.48,2,19.26,South China Sea
81,20240412,0856,113.9567,-6.4545,1,30.01,Java Sea
82,20240403,0731,113.0021,0.0998,3,27.981,South China Sea
83,20240826,0014,111.3327,-4.8645,1,20.518,Java Sea
84,20240917,1147,112.6477,-5.8929,1,27.744,Java Sea
85,20240404,2307,101.815,1.9199,1,37.273,Malacca Strait
86,20241216,0848,102.5213,-8.0423,3,26.47,Indian Ocean
87,20240412,0545,108.7037,-6.4176,1,26.94,Java Sea
88,20241205,2031,114.8201,-5.3399,8,5.578,Java Sea
89,20240606,0155,109.9904,-5.5639,1,24.148,Java Sea
90,20241122,0151,111.6064,-2.5555,1,28.361,South China Sea
91,20240720,1914,103.9757,1.3554,3,38.897,Malacca Strait
92,20241014,0903,103.634,1.8921,2,30.677,Malacca Strait
93,20240409,2115,139.6331,-8.1688,1,9.104,Arafura Sea
94,20241016,0918,108.0187,-5.6485,1,35.494,Java Sea
95,20240526,2051,136.1782,-6.2505,2,46.717,Arafura Sea
96,20240527,0410,102.1782,2.9429,1,39.735,Malacca Strait
97,20240804,1444,123.1212,3.5272,2,20.424,Celebes Sea
98,20241002,1338,111.7799,-5.6867,3,12.893,Java Sea
99,20241019,0043,114.7334,-4.4921,10,41.16,Java Sea
100,20240921,1411,122.8155,-0.9489,8,49.849,Celebes Sea
101,20240812,1342,103.257,3.9072,1,5.678,Malacca Strait
102,20241113,1705,110.8815,-5.5136,1,16.069,Java Sea
103,20240927,0034,103.8807,2.2125,2,23.368,Malacca Strait
104,20240821,1413,111.6291,-5.1321,3,13.719,Java Sea
105,20240804,0038,110.0162,-4.3575,10,40.066,Java Sea
106,20240703,0758,135.1753,-8.9453,10,6.116,Arafura Sea
107,20241210,1626,102.1817,-8.2301,3,41.819,Indian Ocean
108,20240707,1956,98.9498,-6.2437,2,7.257,Indian Ocean
109,20240626,1600,113.4087,-4.4368,1,14.501,Java Sea
110,20240828,0430,112.1086,-4.0033,1,17.584,Java Sea
111,20240628,0615,121.7172,0.7321,10,28.804,Celebes Sea
112,20241216,2224,113.4288,-6.8691,8,19.611,Java Sea
113,20240802,0437,138.7452,-5.0767,2,16.934,Arafura Sea
114,20240801,2355,113.9153,-6.7009,1,32.912,Java Sea
115,20240620,2205,111.2864,-4.0924,1,42.662,Java Sea
116,20240621,2231,115.7341,-0.7199,8,43.683,South China Sea
117,20240508,2306,108.4789,-5.1065,1,38.138,Java Sea
118,20240501,0103,133.7036,-8.3345,1,15.022,Arafura Sea
119,20241022,0505,100.5823,2.5935,1,30.67,Malacca Strait
120,20241005,0716,102.7325,2.493,1,23.249,Malacca Strait
121,20240522,1728,139.2924,-7.139,1,47.289,Arafura Sea
122,20241209,1412,99.3932,-4.1899,8,49.969,Indian Ocean
123,20240619,0918,108.9599,-0.7118,10,1.586,South China Sea
124,20241125,2358,111.5623,-2.9514,10,30.517,South China Sea
125,20240420,1112,103.6166,1.8586,1,31.234,Malacca Strait
126,20240321,0341,138.0465,-6.3633,8,2.451,Arafura Sea
127,20240303,0926,133.2336,-7.5406,1,9.194,Arafura Sea
128,20240917,0816,111.7759,-4.0855,8,45.745,Java Sea
129,20240626,0304,104.7391,-7.5243,1,7.467,Indian Ocean
130,20240728,1750,103.8811,-5.3789,1,20.031,Indian Ocean
131,20241222,0852,108.8651,-5.8942,2,32.108,Java Sea
132,20241018,1014,102.6993,2.4144,8,32.559,Malacca Strait
133,20241114,0302,121.3213,2.2065,1,15.566,Celebes Sea
134,20240313,1447,100.3888,3.6618,1,34.976,Malacca Strait
135,20240721,0339,121.9367,2.3596,8,20.702,Celebes Sea
136,20240815,0706,97.2617,-7.1474,8,49.056,Indian Ocean
137,20240113,0807,103.6068,2.9345,1,47.476,Malacca Strait
138,20241120,0021,108.8251,-1.7274,1,12.557,South China Sea
139,20240907,1855,111.952,-6.7942,1,12.033,Java Sea
140,20240528,0434,138.5205,-6.6161,10,12.907,Arafura Sea
141,20240112,0701,112.6274,-6.9227,2,9.125,Java Sea
142,20241203,1523,113.192,-5.4217,1,25.905,Java Sea
143,20240124,2129,111.5269,-4.1638,2,32.345,Java Sea
144,20240722,0358,114.9901,-4.4581,1,22.456,Java Sea
145,20240309,1935,110.899,-2.11,2,35.752,South China Sea
146,20240920,1344,102.3896,1.8847,1,6.163,Malacca Strait
147,20240414,1426,139.1439,-6.7947,8,17.277,Arafura Sea
148,20240711,2109,101.664,1.2853,1,34.498,Malacca Strait
149,20240704,2351,100.3649,1.2561,3,6.941,Malacca Strait
150,20241104,1342,114.6964,-5.3149,1,47.086,Java Sea
151,20240520,0936,103.6634,1.1543,1,25.617,Malacca Strait
152,20240628,1748,111.3753,-4.4582,1,14.289,Java Sea
153,20241020,2101,111.0038,-5.3171,2,30.645,Java Sea
154,20240523,0922,137.8543,-8.8842,8,0.802,Arafura Sea
155,20240324,2005,113.0969,-0.5953,10,37.433,South China Sea
156,20240610,2336,110.9388,-5.9773,1,30.013,Java Sea
157,20240122,0242,109.4002,1.5266,1,21.489,South China Sea
158,20240904,1118,121.0709,-0.7066,1,34.072,Celebes Sea
159,20240413,1913,121.6347,-0.1495,1,15.42,Celebes Sea
160,20240604,0027,108.9606,-6.2334,1,9.197,Java Sea
161,20241126,1155,102.8147,2.5008,1,37.231,Malacca Strait
162,20240619,1345,101.839,1.2336,2,32.187,Malacca Strait
163,20240326,1944,110.8352,-4.1014,1,46.029,Java Sea
164,20241013,1655,113.9114,-6.2701,1,15.859,Java Sea
165,20240921,0312,101.3323,1.5044,2,45.343,Malacca Strait
166,20240308,0312,102.9095,3.4568,1,9.088,Malacca Strait
167,20241116,1448,113.3141,-6.7739,3,29.184,Java Sea
168,20241011,2028,139.1743,-6.428,1,3.88,Arafura Sea
169,20240112,1629,101.2113,1.824,1,22.87,Malacca Strait
170,20240220,1929,113.8219,-6.7698,2,29.226,Java Sea
171,20241021,0630,102.9114,-8.7949,1,25.318,Indian Ocean
172,20240623,0211,100.6042,-4.9452,2,2.438,Indian Ocean
173,20241006,1118,139.9369,-6.9037,1,19.677,Arafura Sea
174,20241121,1006,137.7523,-8.7905,1,28.119,Arafura Sea
175,20241028,0437,101.008,3.5547,1,33.349,Malacca Strait
176,20241113,0405,99.4819,-5.7197,2,15.824,Indian Ocean
177,20241123,2358,103.1666,3.4396,10,26.556,Malacca Strait
178,20240610,0521,121.117,0.171,10,47.41,Celebes Sea
179,20240210,0334,100.9062,1.4127,2,41.838,Malacca Strait
180,20241005,1910,108.3397,-0.9794,1,9.452,South China Sea
181,20241215,0143,137.3732,-5.3894,1,36.119,Arafura Sea
182,20240808,1751,101.8848,-5.238,1,39.326,Indian Ocean
183,20241015,1449,98.5521,-5.6085,3,19.403,Indian Ocean
184,20241005,0830,123.8313,2.9013,1,43.769,Celebes Sea
185,20240210,0217,119.5129,3.0754,3,22.741,Celebes Sea
186,20240427,1459,123.1552,-1.4497,8,1.82,Celebes Sea
187,20240212,0759,111.514,-6.2927,1,5.405,Java Sea
188,20240110,1508,135.347,-8.4158,2,38.063,Arafura Sea
189,20240109,0635,102.4614,3.7176,8,47.041,Malacca Strait
190,20240410,0326,121.1163,2.657,1,32.128,Celebes Sea
191,20240820,1732,119.314,3.0201,1,28.965,Celebes Sea
192,20240608,1842,135.0389,-8.9937,1,33.577,Arafura Sea
193,20240917,1624,120.803,3.7204,2,43.73,Celebes Sea
194,20241201,1122,110.7082,-5.8801,3,12.436,Java Sea
195,20240605,0121,133.7256,-6.6724,1,40.769,Arafura Sea
196,20241216,2008,113.454,-5.6061,1,3.623,Java Sea
197,20240126,0620,136.2038,-7.8262,8,46.702,Arafura Sea
198,20240502,2022,123.9456,1.2582,1,43.176,Celebes Sea
199,20240614,1257,112.5901,-6.1804,3,47.846,Java Sea
200,20240626,1605,100.7473,3.0762,1,36.491,Malacca Strait
201,20240910,1020,112.2172,-4.533,1,33.216,Java Sea
202,20241215,1146,102.4105,2.2783,1,43.567,Malacca Strait
203,20240103,2123,103.9926,1.8237,2,25.898,Malacca Strait
204,20241022,1404,134.1199,-8.8754,1,12.182,Arafura Sea
205,20240120,0423,120.8108,3.6968,2,18.915,Celebes Sea
206,20240711,2007,137.0175,-6.8822,1,1.783,Arafura Sea
207,20240209,0813,111.6242,-4.2594,3,49.82,Java Sea
208,20240205,0257,114.4154,-5.5264,1,35.812,Java Sea
209,20240622,1135,103.4841,-4.1622,3,27.337,Indian Ocean
210,20241221,0532,115.6623,1.2709,3,11.6,South China Sea
211,20240801,1123,103.3365,-7.8163,2,23.637,Indian Ocean
212,20240210,1246,98.0382,-4.5788,10,24.194,Indian Ocean
213,20240311,2029,101.6377,2.7247,1,34.165,Malacca Strait
214,20241119,0508,103.5118,3.3408,3,21.915,Malacca Strait
215,20240310,0559,97.4433,-8.3792,1,35.612,Indian Ocean
216,20240209,0635,103.7636,3.6848,2,14.085,Malacca Strait
217,20241106,1809,122.0721,-1.4394,8,8.974,Celebes Sea
218,20241002,0041,123.51,0.0257,1,38.666,Celebes Sea
219,20241021,0040,109.4757,-5.2836,1,27.506,Java Sea
220,20241113,0944,120.5105,-0.5307,1,3.466,Celebes Sea
221,20241005,1020,101.937,1.6121,8,36.843,Malacca Strait
222,20240617,1715,116.7784,-2.2154,1,23.59,South China Sea
223,20240513,1955,109.7354,-6.7096,1,45.164,Java Sea
224,20240425,0532,116.4038,1.3268,1,23.607,South China Sea
225,20240717,1413,112.4763,-2.4597,10,29.376,South China Sea
226,20241122,1500,109.9695,-5.2074,1,42.435,Java Sea
227,20240712,0136,103.5298,3.1825,1,28.31,Malacca Strait
228,20240825,1739,101.1544,2.159,1,34.18,Malacca Strait
229,20240618,1112,114.8256,-5.8183,3,30.322,Java Sea
230,20241211,1509,100.161,1.1167,2,30.51,Malacca Strait
231,20240313,1919,120.6398,1.6784,3,29.889,Celebes Sea
232,20241010,1523,121.5486,0.9391,8,16.896,Celebes Sea
233,20241228,2238,110.9158,-6.077,2,23.992,Java Sea
234,20241008,2330,103.2632,-5.1192,1,8.94,Indian Ocean
235,20240327,2136,122.0987,3.047,1,47.436,Celebes Sea
236,20240314,2232,108.1326,-6.0589,1,38.861,Java Sea
237,20240123,0435,103.9825,-5.3208,2,16.59,Indian Ocean
238,20240315,1722,136.6783,-7.745,1,33.955,Arafura Sea
239,20240520,1515,114.1267,1.8219,1,14.311,South China Sea
240,20240523,0631,114.5904,-4.0532,2,16.194,Java Sea
241,20240510,0334,103.7348,3.3862,2,19.295,Malacca Strait
242,20240310,0145,103.547,-4.227,1,4.412,Indian Ocean
243,20240407,1735,102.2478,-5.2633,1,34.96,Indian Ocean
244,20240402,2114,112.3097,-5.2395,8,32.078,Java Sea
245,20240222,0435,110.8931,-4.8479,1,48.907,Java Sea
246,20240816,2018,112.5702,-4.3581,1,16.398,Java Sea
247,20241008,1754,123.5397,-1.4632,3,46.865,Celebes Sea
248,20240302,1211,98.4005,-4.5888,3,46.862,Indian Ocean
249,20240110,1859,104.4083,-4.6163,2,49.158,Indian Ocean
250,20240805,1612,114.9237,-5.3701,1,40.536,Java Sea
251,20241206,0050,102.9245,2.9449,3,15.104,Malacca Strait
252,20241113,1305,134.3521,-6.5562,2,20.341,Arafura Sea
253,20240401,0828,114.8718,-5.5676,1,37.811,Java Sea
254,20240109,2015,99.4156,-5.3856,1,3.575,Indian Ocean
255,20240923,0940,110.1476,-5.7838,2,45.848,Java Sea
256,20240316,0438,112.3024,-6.3426,1,18.994,Java Sea
257,20241127,0643,139.3896,-5.9706,3,37.86,Arafura Sea
258,20241212,0207,108.7368,-0.3195,8,3.557,South China Sea
259,20240306,1028,121.5274,1.4362,8,6.254,Celebes Sea
260,20240915,0132,112.082,-6.7272,1,21.064,Java Sea
261,20240524,0052,121.794,2.0366,1,0.649,Celebes Sea
262,20241203,1759,108.5112,-5.7289,10,44.764,Java Sea
263,20240325,0446,100.7766,-7.5645,3,32.471,Indian Ocean
264,20240713,0242,103.9714,2.1474,2,43.79,Malacca Strait
265,20240913,1614,114.022,-6.6441,1,41.824,Java Sea
266,20241218,1352,139.8494,-7.148,2,11.868,Arafura Sea
267,20241225,0342,100.6205,1.5654,1,21.252,Malacca Strait
268,20240403,0328,139.1863,-8.9374,2,30.09,Arafura Sea
269,20240715,0748,133.3407,-6.0378,2,43.255,Arafura Sea
270,20241219,1049,111.5273,-6.1322,2,33.79,Java Sea
271,20241117,0717,101.2071,1.4298,1,3.517,Malacca Strait
272,20241122,1303,104.0377,-4.4421,2,48.628,Indian Ocean
273,20240623,1319,102.3707,-5.071,1,19.135,Indian Ocean
274,20240528,2229,136.3146,-5.6026,1,45.78,Arafura Sea
275,20240313,0721,123.8389,1.3437,1,32.512,Celebes Sea
276,20241227,0624,103.7771,-8.5377,1,33.847,Indian Ocean
277,20241024,2130,123.3681,-0.871,2,10.84,Celebes Sea
278,20240407,2348,99.4255,-4.455,1,24.207,Indian Ocean
279,20240418,1024,112.2308,-6.3865,3,23.579,Java Sea
280,20240815,0346,120.5421,0.1579,8,23.74,Celebes Sea
281,20240702,1847,116.229,-0.7758,8,7.723,South China Sea
282,20240710,0414,114.5433,-5.2626,1,19.302,Java Sea
283,20241111,0831,112.4937,0.9276,3,48.342,South China Sea
284,20240606,0431,121.453,-0.9906,3,9.61,Celebes Sea
285,20240902,0242,116.9129,2.7434,8,2.901,South China Sea
286,20240223,0432,108.9624,-5.1079,1,23.072,Java Sea
287,20240822,1534,112.4641,-4.1983,1,27.806,Java Sea
288,20240501,1643,111.7059,-6.1758,8,21.813,Java Sea
289,20240905,0733,98.4341,-4.4098,1,12.995,Indian Ocean
290,20240715,1844,103.1797,1.2371,1,11.68,Malacca Strait
291,20241125,0124,138.9351,-6.3851,1,19.17,Arafura Sea
292,20240216,1321,102.547,3.1085,2,28.51,Malacca Strait
293,20240108,0644,108.8583,0.169,8,44.434,South China Sea
294,20240518,1811,100.1862,1.223,2,46.474,Malacca Strait
295,20241227,1219,103.8459,2.7611,8,8.541,Malacca Strait
296,20240911,1208,113.8426,-5.8325,3,39.63,Java Sea
297,20240602,0353,133.549,-6.0182,1,4.263,Arafura Sea
298,20240601,2028,122.0693,1.5737,1,24.785,Celebes Sea
299,20241119,2149,103.7646,2.2955,1,31.121,Malacca Strait
300,20240313,2209,137.9918,-8.6718,3,37.113,Arafura Sea
301,20240515,1106,100.4262,1.0156,3,7.059,Malacca Strait
302,20240704,0035,111.1419,-5.3358,1,5.107,Java Sea
303,20240514,1246,120.6222,0.3114,3,45.106,Celebes Sea
304,20240322,1217,104.8254,-6.1402,1,15.406,Indian Ocean
305,20240710,1523,100.2531,2.304,3,12.959,Malacca Strait
306,20240415,0300,112.3752,-5.2186,1,47.467,Java Sea
307,20240615,1052,102.4808,3.4122,1,43.046,Malacca Strait
308,20241207,1525,98.089,-7.3967,1,48.452,Indian Ocean
309,20241026,0717,112.8647,-5.527,1,40.916,Java Sea
310,20241018,0535,100.4556,2.6916,2,1.832,Malacca Strait
311,20240527,2254,139.6008,-8.1614,1,39.885,Arafura Sea
312,20240409,2127,101.9972,2.9,1,39.559,Malacca Strait
313,20240718,1655,114.9349,-5.5623,8,34.74,Java Sea
314,20240920,2006,122.9536,0.1572,8,38.563,Celebes Sea
315,20240119,2025,135.4851,-6.412,2,48.357,Arafura Sea
316,20240209,0733,103.1849,1.3178,2,28.121,Malacca Strait
317,20240825,2132,134.5472,-7.5035,2,7.962,Arafura Sea
318,20240204,2319,100.8622,-7.5228,1,17.482,Indian Ocean
319,20240215,2320,136.6478,-7.6068,2,3.825,Arafura Sea
320,20240621,0310,112.9755,-6.9322,2,46.531,Java Sea
321,20240618,1314,136.612,-6.7924,10,39.989,Arafura Sea
322,20240701,2312,119.9319,1.9438,2,22.754,Celebes Sea
323,20240525,2204,100.0178,1.6444,8,29.079,Malacca Strait
324,20240415,0355,136.7582,-7.5368,1,24.729,Arafura Sea
325,20240719,0354,99.5072,-7.0568,1,23.164,Indian Ocean
326,20241019,0220,112.7151,-4.5982,2,6.334,Java Sea
327,20240913,1336,100.7322,3.0803,2,19.494,Malacca Strait
328,20241106,1718,112.4485,-4.9197,1,7.445,Java Sea
329,20240601,1552,101.804,1.1608,1,19.505,Malacca Strait
330,20240814,2231,122.2653,0.4548,8,8.779,Celebes Sea
331,20240109,0710,122.9794,-0.6768,2,39.147,Celebes Sea
332,20240904,1849,122.8627,0.9719,1,27.384,Celebes Sea
333,20241215,1727,101.3363,-5.2161,1,5.57,Indian Ocean
334,20240115,0852,114.7621,-1.2137,1,4.806,South China Sea
335,20240426,2322,109.0565,1.8713,2,43.122,South China Sea
336,20240427,0636,121.1408,1.6969,8,17.865,Celebes Sea
337,20241210,0954,111.7714,-6.029,2,25.964,Java Sea
338,20240702,0808,103.5214,-8.3221,8,35.221,Indian Ocean
339,20240425,2109,109.0237,-6.0337,1,29.083,Java Sea
340,20241126,0247,110.8996,-5.644,1,14.272,Java Sea
341,20240619,0054,99.9526,-4.2487,8,36.77,Indian Ocean
342,20240628,0225,136.2091,-6.3434,3,11.283,Arafura Sea
343,20240511,1736,100.8474,1.8056,2,42.695,Malacca Strait
344,20240104,2029,139.2591,-5.951,3,1.306,Arafura Sea
345,20240707,2256,98.2639,-6.7174,8,32.675,Indian Ocean
346,20241112,0842,114.5291,-6.1779,1,45.238,Java Sea
347,20241225,0705,110.7744,-6.0835,1,35.333,Java Sea
348,20240417,2100,111.3376,-6.6019,1,34.932,Java Sea
349,20240316,0205,116.8934,-0.4661,1,36.673,South China Sea
350,20240313,0443,110.1935,-4.357,2,7.571,Java Sea
351,20240812,2347,119.0424,1.9001,1,7.993,Celebes Sea
352,20240204,0437,102.7463,3.5799,3,36.635,Malacca Strait
353,20240409,2035,101.7176,3.3732,1,30.249,Malacca Strait
354,20240128,2113,134.9944,-5.2349,8,26.129,Arafura Sea
355,20240126,0707,122.7392,-0.2267,1,12.434,Celebes Sea
356,20240112,1055,119.3551,3.3323,1,42.029,Celebes Sea
357,20240825,0204,102.1854,1.5183,1,1.183,Malacca Strait
358,20240717,0932,114.4581,-4.154,2,38.472,Java Sea
359,20240920,0419,101.6091,2.9216,1,4.412,Malacca Strait
360,20240613,1853,104.7945,-8.2231,2,32.667,Indian Ocean
361,20240402,0727,120.5508,0.6249,1,6.241,Celebes Sea
362,20241124,0545,119.2751,1.9965,1,7.292,Celebes Sea
363,20240926,2323,111.4749,-5.9599,1,6.783,Java Sea
364,20240111,1304,134.8814,-5.4543,1,13.516,Arafura Sea
365,20240912,0136,102.0203,-6.5193,1,8.761,Indian Ocean
366,20241124,0332,113.4133,-4.3172,1,0.627,Java Sea
367,20240613,0454,108.1106,-2.7241,1,2.25,South China Sea
368,20240411,0746,114.4262,0.9342,1,16.337,South China Sea
369,20241102,0533,113.1438,-2.2836,1,49.08,South China Sea
370,20240525,0935,97.5514,-6.6745,1,23.109,Indian Ocean
371,20241220,0737,101.1664,3.3535,1,48.607,Malacca Strait
372,20240925,0759,103.2071,-5.3377,1,20.797,Indian Ocean
373,20240111,0024,110.425,-4.4813,3,42.526,Java Sea
374,20240414,1509,133.7276,-6.8807,10,35.727,Arafura Sea
375,20240914,2229,114.4489,-4.3081,8,48.74,Java Sea
376,20240703,1827,108.669,-6.5995,2,33.291,Java Sea
377,20240723,2328,110.0417,-4.4473,1,13.962,Java Sea
378,20241004,0428,109.419,-4.6602,1,23.57,Java Sea
379,20240415,0954,102.1437,3.8939,1,6.436,Malacca Strait
380,20241220,0154,112.8024,-4.5208,1,16.726,Java Sea
381,20240902,2152,109.7375,-5.9328,1,49.538,Java Sea
382,20241218,0706,110.8307,-5.6434,1,40.293,Java Sea
383,20240405,0623,108.0837,-4.5089,8,34.471,Java Sea
384,20240201,0241,97.6723,-6.0694,1,22.45,Indian Ocean
385,20240604,0103,114.3355,-4.5119,8,8.815,Java Sea
386,20240113,2122,123.1084,0.37,1,11.128,Celebes Sea
387,20240120,1941,109.959,-4.3497,2,15.108,Java Sea
388,20240513,0441,102.2028,1.1829,1,44.29,Malacca Strait
389,20240113,2234,122.1538,2.813,1,39.181,Celebes Sea
390,20240506,0014,102.2626,1.9648,1,1.951,Malacca Strait
391,20240817,1114,110.5284,1.8519,3,48.712,South China Sea
392,20241202,0751,112.5981,-6.2004,2,19.727,Java Sea
393,20240419,1044,104.9323,-8.1314,8,18.26,Indian Ocean
394,20241019,0412,122.5173,0.1101,2,41.916,Celebes Sea
395,20240316,0114,116.7335,0.2527,1,30.282,South China Sea
396,20241007,0411,111.3459,-6.0048,1,45.98,Java Sea
397,20241023,0454,110.9123,-2.8685,3,26.552,South China Sea
398,20241113,1819,100.2901,3.1136,1,16.469,Malacca Strait
399,20241116,2045,102.8588,-6.8157,1,48.453,Indian Ocean
400,20240422,1824,139.5019,-5.852,8,15.688,Arafura Sea
401,20241219,1249,133.8914,-6.0847,8,48.277,Arafura Sea
402,20241008,2059,112.2167,-4.2369,2,25.061,Java Sea
403,20240606,2005,100.3112,2.0404,8,41.172,Malacca Strait
404,20240109,0604,138.105,-7.657,1,17.849,Arafura Sea
405,20240824,1356,138.0429,-8.8074,10,20.994,Arafura Sea
406,20240826,1843,111.1611,-0.7479,2,11.666,South China Sea
407,20240111,0804,103.1968,1.1002,10,17.42,Malacca Strait
408,20240211,1957,109.4481,-2.55,10,24.395,South China Sea
409,20240706,0113,114.5971,-6.505,1,48.733,Java Sea
410,20240909,2115,102.2164,3.7767,1,5.248,Malacca Strait
411,20240112,0018,102.1987,2.4728,1,41.283,Malacca Strait
412,20240406,2005,121.4016,-1.4181,1,23.942,Celebes Sea
413,20241109,0224,113.4941,-5.5872,2,9.652,Java Sea
414,20240515,1453,111.3246,-0.3253,1,13.794,South China Sea
415,20240222,1126,113.2656,-4.9976,8,48.55,Java Sea
416,20240914,1759,121.768,3.0448,2,24.004,Celebes Sea
417,20241202,1633,112.2864,-2.5263,2,40.122,South China Sea
418,20240806,0551,137.3419,-8.5189,10,10.04,Arafura Sea
419,20240427,2038,108.5486,-4.9506,1,13.265,Java Sea
420,20240718,1254,104.3134,-8.6649,2,14.172,Indian Ocean
421,20241019,1607,103.4939,3.3597,3,21.015,Malacca Strait
422,20240204,1850,112.1155,-4.7249,3,14.662,Java Sea
423,20240721,1530,120.7193,0.4653,2,2.355,Celebes Sea
424,20241213,0156,109.007,-5.174,1,16.909,Java Sea
425,20240601,1019,113.2202,-4.2375,8,15.892,Java Sea
426,20240405,0928,115.7241,1.1091,10,38.815,South China Sea
